Fiscal_Year,Ministry,Sector,Budget_Allocation,GDP_Growth_Rate,Inflation_CPI,Fiscal_Deficit_GDP,Current_Account_GDP,Exchange_Rate_USD,Crude_Oil_Price,Economic_Crisis,Election_Year,High_Inflation,Budget_MA_3,Budget_MA_5,Budget_YoY_Growth
22-23,Power,Energy & Natural Resources,16074.74,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,15757.186666666666,15638.66,4.9128051168254805
23-24,Power,Energy & Natural Resources,20671.32,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,17356.02,16763.54,28.595050370954688
05-06,Public Enterprises,Economic Services,32.93,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,32.93,32.93,
06-07,Public Enterprises,Economic Services,35.32,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,34.125,34.125,7.257819617370176
07-08,Public Enterprises,Economic Services,14.43,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,27.560000000000002,27.560000000000002,-59.14496036240091
09-10,Public Enterprises,Economic Services,17.2,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,22.316666666666666,24.97,19.196119196119188
10-11,Public Enterprises,Economic Services,15.72,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,15.783333333333333,23.119999999999997,-8.604651162790688
11-12,Public Enterprises,Economic Services,18.69,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,17.203333333333333,20.272,18.893129770992378
12-13,Public Enterprises,Economic Services,21.93,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,18.779999999999998,17.594,17.33547351524878
13-14,Public Enterprises,Economic Services,19.39,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,20.003333333333334,18.586,-11.582307341541265
15-16,Public Enterprises,Economic Services,19.0,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,20.106666666666666,18.946,-2.0113460546673623
16-17,Public Enterprises,Economic Services,20.42,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,19.603333333333335,19.886000000000003,7.473684210526321
17-18,Public Enterprises,Economic Services,19.38,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,19.599999999999998,20.024,-5.093046033300697
18-19,Public Enterprises,Economic Services,20.44,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,20.080000000000002,19.726,5.4695562435500555
19-20,Public Enterprises,Economic Services,22.64,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,20.82,20.375999999999998,10.763209393346385
20-21,Public Enterprises,Economic Services,24.15,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,22.409999999999997,21.406,6.6696113074204755
21-22,Public Enterprises,Economic Services,21.81,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,22.866666666666664,21.684,-9.689440993788823
22-23,Public Enterprises,Economic Services,30.0,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,25.319999999999997,23.808,37.55158184319121
23-24,Public Enterprises,Economic Services,33.05,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,28.28666666666666,26.329999999999995,10.166666666666657
05-06,Road Transport and Highways,Infrastructure & Transport,12411.0,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,12411.0,12411.0,
06-07,Road Transport and Highways,Infrastructure & Transport,1512.49,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,6961.745,6961.745,-87.81331077270164
07-08,Road Transport and Highways,Infrastructure & Transport,1512.13,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,5145.206666666667,5145.206666666667,-0.023801810259893585
09-10,Road Transport and Highways,Infrastructure & Transport,19565.0,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,7529.873333333334,8750.155,1193.8702360246805
10-11,Road Transport and Highways,Infrastructure & Transport,22184.9,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,14420.676666666666,11437.104000000001,13.390748786097628
11-12,Road Transport and Highways,Infrastructure & Transport,24190.0,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,21979.96666666667,13792.904,9.038129538560003
12-13,Road Transport and Highways,Infrastructure & Transport,28438.21,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,24937.703333333335,19178.048,17.56184373708143
13-14,Road Transport and Highways,Infrastructure & Transport,28942.23,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,27190.146666666667,24664.068000000003,1.7723337720623178
15-16,Road Transport and Highways,Infrastructure & Transport,42841.65,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,33407.363333333335,29319.397999999997,48.02470300318946
16-17,Road Transport and Highways,Infrastructure & Transport,46983.0,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,39588.96,34279.018,9.666644491983845
17-18,Road Transport and Highways,Infrastructure & Transport,64900.0,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,51574.88333333333,42421.018,38.13507013174977
18-19,Road Transport and Highways,Infrastructure & Transport,71000.0,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,60961.0,50933.376000000004,9.399075500770415
19-20,Road Transport and Highways,Infrastructure & Transport,83015.97,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,72971.99,61748.123999999996,16.923901408450703
20-21,Road Transport and Highways,Infrastructure & Transport,91823.22,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,81946.39666666667,71544.438,10.609103284584886
21-22,Road Transport and Highways,Infrastructure & Transport,118101.0,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,97646.73,85768.03799999999,28.61779406124072
22-23,Road Transport and Highways,Infrastructure & Transport,199107.71,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,136343.97666666665,112609.57999999999,68.59104495304867
23-24,Road Transport and Highways,Infrastructure & Transport,270434.71,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,195881.13999999998,152496.522,35.82332396872025
05-06,Rural Development,Agriculture & Rural,18353.87,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,18353.87,18353.87,
06-07,Rural Development,Agriculture & Rural,24047.56,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,21200.715,21200.715,31.021740918945184
07-08,Rural Development,Agriculture & Rural,27522.86,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,23308.096666666668,23308.096666666668,14.45177805981146
09-10,Rural Development,Agriculture & Rural,62706.95,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,38092.456666666665,33157.81,127.83587897478674
10-11,Rural Development,Agriculture & Rural,66137.86,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,52122.55666666667,39753.82,5.471339301305522
11-12,Rural Development,Agriculture & Rural,74143.72,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,67662.84333333334,50911.79,12.104806535923608
12-13,Rural Development,Agriculture & Rural,73221.82,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,71167.8,60746.64200000001,-1.2433959342746714
13-14,Rural Development,Agriculture & Rural,74477.65,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,73947.73,70137.6,1.7151035032999529
15-16,Rural Development,Agriculture & Rural,7493.08,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,51730.85,59094.826,-89.93915624351735
16-17,Rural Development,Agriculture & Rural,7671.4,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,29880.709999999995,47401.534,2.379795758219583
17-18,Rural Development,Agriculture & Rural,105447.88,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,40204.12,53662.366,1274.5584899757541
18-19,Rural Development,Agriculture & Rural,112403.92,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,75174.40000000001,61498.786,6.596661782105051
19-20,Rural Development,Agriculture & Rural,117647.19,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,111832.99666666666,70132.69399999999,4.66466827847285
20-21,Rural Development,Agriculture & Rural,120147.19,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,116732.76666666666,92663.51599999999,2.124997630627634
21-22,Rural Development,Agriculture & Rural,131519.08,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,123104.48666666668,117433.052,9.464965431151562
22-23,Rural Development,Agriculture & Rural,135944.29,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,129203.52000000002,123532.334,3.3646905072632904
23-24,Rural Development,Agriculture & Rural,157545.0,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,141669.45666666667,132560.55,15.889383805675106
05-06,Science and Technology,Science & Innovation,1636.0,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,1636.0,1636.0,
06-07,Science and Technology,Science & Innovation,1746.0,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,1691.0,1691.0,6.723716381418088
07-08,Science and Technology,Science & Innovation,1775.0,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,1719.0,1719.0,1.6609392898052633
09-10,Science and Technology,Science & Innovation,2133.0,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,1884.6666666666667,1822.5,20.16901408450704
10-11,Science and Technology,Science & Innovation,2369.0,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,2092.3333333333335,1931.8,11.064228785747776
11-12,Science and Technology,Science & Innovation,2733.0,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,2411.6666666666665,2151.2,15.36513296749684
12-13,Science and Technology,Science & Innovation,2873.22,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,2658.4066666666663,2376.644,5.130625686059265
13-14,Science and Technology,Science & Innovation,3184.27,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,2930.1633333333334,2658.498,10.825833037498
15-16,Science and Technology,Science & Innovation,3835.7,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,3297.7299999999996,2999.0379999999996,20.45775012797282
16-17,Science and Technology,Science & Innovation,4470.2,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,3830.056666666667,3419.278,16.541961050134258
17-18,Science and Technology,Science & Innovation,4817.27,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,4374.39,3836.132,7.764082143975681
18-19,Science and Technology,Science & Innovation,5114.78,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,4800.75,4284.444,6.175904609872385
19-20,Science and Technology,Science & Innovation,5321.01,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,5084.3533333333335,4711.7919999999995,4.032040478769372
20-21,Science and Technology,Science & Innovation,6301.53,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,5579.106666666667,5204.9580000000005,18.42732864625325
21-22,Science and Technology,Science & Innovation,6067.39,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,5896.643333333333,5524.396000000001,-3.7156055751539574
22-23,Science and Technology,Science & Innovation,6000.0,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,6122.973333333332,5760.942,-1.1106917471927824
23-24,Science and Technology,Science & Innovation,7931.05,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,6666.146666666667,6324.196,32.184166666666684
05-06,Scientific and Industrial Research,Science & Innovation,1557.0,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,1557.0,1557.0,
06-07,Scientific and Industrial Research,Science & Innovation,1750.0,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,1653.5,1653.5,12.39563262684651
07-08,Scientific and Industrial Research,Science & Innovation,1902.0,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,1736.3333333333333,1736.3333333333333,8.685714285714297
09-10,Scientific and Industrial Research,Science & Innovation,2691.0,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,2114.3333333333335,1975.0,41.4826498422713
10-11,Scientific and Industrial Research,Science & Innovation,2988.0,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,2527.0,2177.6,11.036789297658856
11-12,Scientific and Industrial Research,Science & Innovation,3385.0,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,3021.3333333333335,2543.2,13.286479250334683
12-13,Scientific and Industrial Research,Science & Innovation,3484.0,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,3285.6666666666665,2890.0,2.9246676514032455
13-14,Scientific and Industrial Research,Science & Innovation,3571.0,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,3480.0,3223.8,2.497129735935699
15-16,Scientific and Industrial Research,Science & Innovation,4031.0,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,3695.3333333333335,3491.8,12.881545785494254
16-17,Scientific and Industrial Research,Science & Innovation,4062.8,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,3888.2666666666664,3706.7599999999998,0.7888861324733432
17-18,Scientific and Industrial Research,Science & Innovation,4446.0,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,4179.933333333333,3918.96,9.431918873683177
18-19,Scientific and Industrial Research,Science & Innovation,4795.97,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,4434.923333333333,4181.354,7.871569950517321
19-20,Scientific and Industrial Research,Science & Innovation,4895.89,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,4712.62,4446.332,2.083415867905769
20-21,Scientific and Industrial Research,Science & Innovation,5385.0,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,5025.62,4717.132,9.990216283454068
21-22,Scientific and Industrial Research,Science & Innovation,5224.27,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,5168.386666666666,4949.426,-2.9847725162488348
22-23,Scientific and Industrial Research,Science & Innovation,5636.46,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,5415.243333333334,5187.518000000001,7.889906149567305
23-24,Scientific and Industrial Research,Science & Innovation,5746.51,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,5535.746666666666,5377.626,1.9524666191190976
05-06,Secondary Education and Higher Education,Social Services,5800.5,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,5800.5,5800.5,
06-07,Secondary Education and Higher Education,Social Services,6982.28,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,6391.389999999999,6391.389999999999,20.373760882682525
07-08,Secondary Education and Higher Education,Social Services,9209.5,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,7330.759999999999,7330.759999999999,31.89817652686515
09-10,Secondary Education and Higher Education,Social Services,15429.0,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,10540.26,9355.32,67.53352516423259
10-11,Secondary Education and Higher Education,Social Services,16690.0,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,13776.166666666666,10822.256,8.172921122561405
11-12,Secondary Education and Higher Education,Social Services,21912.0,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,18010.333333333332,14044.556,31.288196524865185
12-13,Secondary Education and Higher Education,Social Services,25275.0,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,21292.333333333332,17703.1,15.34775465498357
13-14,Secondary Education and Higher Education,Social Services,26750.0,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,24645.666666666668,21211.2,5.835806132542043
15-16,Secondary Education and Higher Education,Social Services,25700.26,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,25908.42,23265.451999999997,-3.924261682243002
16-17,Secondary Education and Higher Education,Social Services,27585.0,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,26678.42,25444.451999999997,7.333544485542176
17-18,Secondary Education and Higher Education,Social Services,33329.7,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,28871.653333333332,27727.992,20.825448613376828
18-19,Secondary Education and Higher Education,Social Services,35010.29,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,31974.996666666662,29675.05,5.042319612837809
19-20,Secondary Education and Higher Education,Social Services,37461.01,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,35267.0,31817.252,6.99999914310907
20-21,Secondary Education and Higher Education,Social Services,39466.52,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,37312.60666666667,34570.504,5.353592975736632
21-22,Secondary Education and Higher Education,Social Services,38350.65,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,38426.06,36723.634,-2.827383817980389
22-23,Secondary Education and Higher Education,Social Services,40828.35,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,39548.50666666666,38223.364,6.460646690473304
23-24,Secondary Education and Higher Education,Social Services,44094.62,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,41091.20666666667,40040.229999999996,8.000004898557012
05-06,Shipping,Infrastructure & Transport,963.92,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,963.92,963.92,
06-07,Shipping,Infrastructure & Transport,1236.67,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,1100.295,1100.295,28.295916673582887
07-08,Shipping,Infrastructure & Transport,1553.5,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,1251.3633333333335,1251.3633333333335,25.619607494319418
09-10,Shipping,Infrastructure & Transport,1755.53,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,1515.2333333333333,1377.405,13.00482780817509
10-11,Shipping,Infrastructure & Transport,1935.89,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,1748.3066666666666,1489.102,10.273820441689985
11-12,Shipping,Infrastructure & Transport,1806.0,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,1832.4733333333334,1657.518,-6.7095754407533565
12-13,Shipping,Infrastructure & Transport,1679.49,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,1807.1266666666668,1746.0819999999999,-7.004983388704322
13-14,Shipping,Infrastructure & Transport,1712.67,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,1732.72,1777.916,1.9755997356340371
15-16,Shipping,Infrastructure & Transport,1439.79,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,1610.6499999999999,1714.768,-15.933016868398475
16-17,Shipping,Infrastructure & Transport,1531.0,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,1561.1533333333334,1633.79,6.334951624889751
17-18,Shipping,Infrastructure & Transport,1773.0,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,1581.2633333333333,1627.19,15.806662312214236
18-19,Shipping,Infrastructure & Transport,1881.13,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,1728.3766666666668,1667.518,6.098702763677388
19-20,Shipping,Infrastructure & Transport,1902.56,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,1852.2300000000002,1705.4959999999999,1.1392088797690603
20-21,Shipping,Infrastructure & Transport,1800.0,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,1861.2300000000002,1777.538,-5.390631570095028
21-22,Shipping,Infrastructure & Transport,1702.35,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,1801.6366666666665,1811.8080000000002,-5.4250000000000025
22-23,Shipping,Infrastructure & Transport,1709.5,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,1737.283333333333,1799.1080000000002,0.4200076365024952
23-24,Shipping,Infrastructure & Transport,2218.74,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,1876.863333333333,1866.6299999999999,29.78882714243929
05-06,Small Scale Industries,Economic Services,460.3,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,460.3,460.3,
06-07,Small Scale Industries,Economic Services,524.24,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,492.27,492.27,13.890940690853792
07-08,Small Scale Industries,Economic Services,585.41,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,523.3166666666666,523.3166666666666,11.668319853502208
09-10,Small Scale Industries,Economic Services,349.0,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,486.2166666666667,479.73749999999995,-40.38366273210229
10-11,Small Scale Industries,Economic Services,447.7,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,460.7033333333333,473.33000000000004,28.280802292263594
11-12,Small Scale Industries,Economic Services,3001.29,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,1265.9966666666667,981.528,570.3797185615367
12-13,Small Scale Industries,Economic Services,498.35,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,1315.78,976.3500000000001,-83.39547327982301
13-14,Small Scale Industries,Economic Services,497.7,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,1332.4466666666667,958.8080000000002,-0.13043042038728414
15-16,Small Scale Industries,Economic Services,606.0,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,534.0166666666667,1010.2080000000002,21.76009644364074
16-17,Small Scale Industries,Economic Services,361.0,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,488.2333333333333,992.868,-40.42904290429043
17-18,Small Scale Industries,Economic Services,6481.96,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,2482.9866666666667,1689.002,1695.556786703601
18-19,Small Scale Industries,Economic Services,770.91,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,2537.9566666666665,1743.5140000000004,-88.10683805515616
19-20,Small Scale Industries,Economic Services,822.05,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,2691.64,1808.3840000000005,6.633718592312987
20-21,Small Scale Industries,Economic Services,882.61,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,825.1899999999999,1863.7060000000006,7.366948482452407
21-22,Small Scale Industries,Economic Services,534.88,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,746.5133333333333,1898.4820000000004,-39.39792207203635
22-23,Small Scale Industries,Economic Services,3306.0,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,1574.4966666666667,1263.2900000000002,518.0825605743344
23-24,Small Scale Industries,Economic Services,6171.63,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,3337.5033333333336,2343.434,86.67967332123412
05-06,Social Justice and Empowerment,Social Services,1599.7,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,1599.7,1599.7,
06-07,Social Justice and Empowerment,Social Services,5567.0,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,3583.35,3583.35,248.00275051572166
07-08,Social Justice and Empowerment,Social Services,5552.19,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,4239.63,4239.63,-0.26603197413329616
09-10,Social Justice and Empowerment,Social Services,9202.0,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,6773.73,5480.2225,65.73640311300588
10-11,Social Justice and Empowerment,Social Services,10474.87,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,8409.686666666666,6479.152,13.832536405129336
11-12,Social Justice and Empowerment,Social Services,5453.0,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,8376.623333333335,7249.812,-47.94207469877908
12-13,Social Justice and Empowerment,Social Services,9519.11,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,8482.326666666668,8040.2339999999995,74.5664771685311
13-14,Social Justice and Empowerment,Social Services,10073.07,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,8348.393333333333,8944.41,5.8194516083961645
15-16,Social Justice and Empowerment,Social Services,6725.93,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,8772.703333333333,8449.196,-33.228598629811955
16-17,Social Justice and Empowerment,Social Services,12252.71,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,9683.903333333334,8804.764,82.17123877292805
17-18,Social Justice and Empowerment,Social Services,6908.0,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,8628.88,9095.764,-43.62063576139482
18-19,Social Justice and Empowerment,Social Services,15046.92,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,11402.543333333333,10201.326000000001,117.8187608569774
19-20,Social Justice and Empowerment,Social Services,15874.82,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,12609.913333333332,11361.676000000001,5.502122693547906
20-21,Social Justice and Empowerment,Social Services,15874.82,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,15598.853333333333,13191.454000000002,0.0
21-22,Social Justice and Empowerment,Social Services,15322.0,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,15690.546666666667,13805.312,-3.4823701938037743
22-23,Social Justice and Empowerment,Social Services,16074.74,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,15757.186666666666,15638.66,4.9128051168254805
23-24,Social Justice and Empowerment,Social Services,20671.32,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,17356.02,16763.54,28.595050370954688
05-06,Space,Science & Innovation,3148.0,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,3148.0,3148.0,
06-07,Space,Science & Innovation,3610.0,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,3379.0,3379.0,14.675984752223625
07-08,Space,Science & Innovation,3858.6,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,3538.866666666667,3538.866666666667,6.88642659279779
09-10,Space,Science & Innovation,4959.0,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,4142.533333333334,3893.9,28.518115378634732
10-11,Space,Science & Innovation,5778.0,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,4865.2,4270.719999999999,16.515426497277687
11-12,Space,Science & Innovation,6626.0,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,5787.666666666667,4966.32,14.676358601592243
12-13,Space,Science & Innovation,6715.0,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,6373.0,5587.32,1.3431934802293988
13-14,Space,Science & Innovation,6792.0,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,6711.0,6174.0,1.1466865227103495
15-16,Space,Science & Innovation,7388.19,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,6965.063333333333,6659.838000000001,8.77782685512367
16-17,Space,Science & Innovation,7509.14,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,7229.776666666668,7006.066000000001,1.6370721381014919
17-18,Space,Science & Innovation,9093.71,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,7997.013333333333,7499.608,21.101883837563264
18-19,Space,Science & Innovation,10783.42,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,9128.756666666666,8313.292,18.58108516765986
19-20,Space,Science & Innovation,11538.26,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,10471.796666666667,9262.544,7.000005564097478
20-21,Space,Science & Innovation,13479.47,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,11933.716666666665,10480.8,16.82411386118876
21-22,Space,Science & Innovation,13949.09,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,12988.94,11768.789999999999,3.483964873989853
22-23,Space,Science & Innovation,13700.0,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,13709.519999999999,12690.047999999999,-1.785707884887111
23-24,Space,Science & Innovation,12543.91,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,13397.666666666666,13042.146,-8.438613138686135
05-06,Statistics and Programme Implementation,Governance & Administration,259.99,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,259.99,259.99,
05-06,Statistics and Programme Implementation,Governance & Administration,1580.0,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,919.995,919.995,507.71568137236045
06-07,Statistics and Programme Implementation,Governance & Administration,1580.0,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,1139.9966666666667,1139.9966666666667,0.0
06-07,Statistics and Programme Implementation,Governance & Administration,1580.0,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,1580.0,1249.9975,0.0
07-08,Statistics and Programme Implementation,Governance & Administration,1580.0,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,1580.0,1315.998,0.0
